iso,name_fr,name_en
AFG,Afghanistan,Afghanistan
AGO,Angola,Angola
ALB,Albanie,Albania
ARE,Émirats Arabes Unis,United Arab Emirates
ARG,Argentine,Argentina
ATG,Antigua-et-Barbuda,Antigua and Barbuda
AUS,Australie,Australia
AUT,Autriche,Austria
BDI,Burundi,Burundi
BEL,Belgique,Belgium
BEN,Bénin,Benin
BFA,Burkina Faso,Burkina Faso
BGR,Bulgarie,Bulgaria
BIH,Bosnie-Herzégovine,Bosnia and Herzegovina
BOL,Bolivie,Bolivia
BRA,Brésil,Brazil
CAF,Centrafrique,Central African Republic
CAN,Canada,Canada
CHE,Suisse,Switzerland
CHL,Chili,Chile
CHN,Chine,China
CIV,Côte d'Ivoire,Côte d'Ivoire
CMR,Cameroun,Cameroon
COD,RD Congo,Democratic Republic of the Congo
COG,Congo,Congo
COM,Comores,Comoros
CPV,Cap-Vert,Cabo Verde
CRI,Costa Rica,Costa Rica
CZE,Rép. Tchèque,Czech Republic
DEU,Allemagne,Germany
DJI,Djibouti,Djibouti
DMA,Dominique,Dominica
DNK,Danemark,Denmark
DOM,Rép. Dominicaine,Dominican Republic
DZA,Algérie,Algeria
ECU,Équateur,Ecuador
EGY,Égypte,Egypt
ESP,Espagne,Spain
ETH,Éthiopie,Ethiopia
FIN,Finlande,Finland
FJI,Fidji,Fiji
FRA,France,France
GAB,Gabon,Gabon
GBR,Royaume-Uni,United Kingdom
GEO,Géorgie,Georgia
GHA,Ghana,Ghana
GIN,Guinée,Guinea
GMB,Gambie,Gambia
GNB,Guinée-Bissau,Guinea-Bissau
GNQ,Guinée Équatoriale,Equatorial Guinea
GRD,Grenade,Grenada
GTM,Guatemala,Guatemala
GUY,Guyana,Guyana
HND,Honduras,Honduras
HRV,Croatie,Croatia
HTI,Haïti,Haiti
HUN,Hongrie,Hungary
IDN,Indonésie,Indonesia
IND,Inde,India
IRL,Irlande,Ireland
IRQ,Irak,Iraq
ISR,Israël,Israel
ITA,Italie,Italy
JAM,Jamaïque,Jamaica
JOR,Jordanie,Jordan
JPN,Japon,Japan
KEN,Kenya,Kenya
KGZ,Kirghizistan,Kyrgyzstan
KHM,Cambodge,Cambodia
KNA,Saint-Christophe-et-Niévès,Saint Kitts and Nevis
KOR,Corée du Sud,Republic of Korea
KWT,Koweït,Kuwait
LBR,Liberia,Liberia
LCA,Sainte-Lucie,Saint Lucia
LKA,Sri Lanka,Sri Lanka
LSO,Lesotho,Lesotho
MAR,Maroc,Morocco
MDA,Moldavie,Moldova
MDG,Madagascar,Madagascar
MDV,Maldives,Maldives
MEX,Mexique,Mexico
MKD,Macédoine du Nord,North Macedonia
MLI,Mali,Mali
MMR,Myanmar,Myanmar
MNE,Monténégro,Montenegro
MOZ,Mozambique,Mozambique
MRT,Mauritanie,Mauritania
MWI,Malawi,Malawi
NER,Niger,Niger
NGA,Nigeria,Nigeria
NIC,Nicaragua,Nicaragua
NLD,Pays-Bas,Netherlands
NOR,Norvège,Norway
NPL,Népal,Nepal
NZL,Nouvelle-Zélande,New Zealand
PAK,Pakistan,Pakistan
PAN,Panama,Panama
PER,Pérou,Peru
PHL,Philippines,Philippines
PNG,Papouasie-N.-Guinée,Papua New Guinea
POL,Pologne,Poland
PRT,Portugal,Portugal
ROU,Roumanie,Romania
RUS,Russie,Russian Federation
SAU,Arabie Saoudite,Saudi Arabia
SDN,Soudan,Sudan
SEN,Sénégal,Senegal
SLE,Sierra Leone,Sierra Leone
SLV,El Salvador,El Salvador
SOM,Somalie,Somalia
SRB,Serbie,Serbia
STP,Sao Tomé-et-Principe,São Tomé and Príncipe
SUR,Suriname,Suriname
SWE,Suède,Sweden
SYC,Seychelles,Seychelles
TCD,Tchad,Chad
TGO,Togo,Togo
TJK,Tadjikistan,Tajikistan
TTO,Trinité-et-Tobago,Trinidad and Tobago
TUR,Turquie,Türkiye
TZA,Tanzanie,Tanzania
UKR,Ukraine,Ukraine
USA,États-Unis,United States of America
VCT,Saint-Vincent-et-les-Grenadines,Saint Vincent and the Grenadines
VNM,Vietnam,Viet Nam
WSM,Samoa,Samoa
YEM,Yémen,Yemen
ZAF,Afrique du Sud,South Africa
ZMB,Zambie,Zambia
